
 fun F-01 | d 10000 |

 m 1900 | t 9.265332106966525 | y 330629.0 | x [4 7 5 ... 2 1 3]
 m 2200 | t 10.377649817150086 | y 327723.0 | x [ 0  3  1 ...  1 10  1]
 m 3000 | t 13.331100272014737 | y 326334.0 | x [8 1 8 ... 6 6 9]
 m 3400 | t 14.818194840103388 | y 325333.0 | x [5 0 0 ... 6 5 0]
 m 3500 | t 15.18675620504655 | y 323829.0 | x [9 0 8 ... 1 5 9]
 m 4100 | t 17.5236583200749 | y 322074.0 | x [9 3 9 ... 1 6 5]
 m 4300 | t 18.258369712159038 | y 321149.0 | x [4 1 7 ... 3 6 9]
 m 4500 | t 18.990583941107616 | y 320456.0 | x [9 3 8 ... 9 4 7]
 m 4600 | t 19.36231496417895 | y 319326.0 | x [ 1  8 10 ...  1  8 10]
 m 4700 | t 19.72843575500883 | y 319039.0 | x [9 1 0 ... 3 2 5]
 m 5100 | t 21.199263141024858 | y 316685.0 | x [0 1 8 ... 4 5 2]
 m 5800 | t 23.786883553955704 | y 315755.0 | x [9 3 3 ... 1 3 9]
 m 6300 | t 25.616842033108696 | y 311994.0 | x [ 9  0  8 ...  1 10  3]
 m 8600 | t 34.131909707095474 | y 310564.0 | x [6 8 6 ... 2 5 3]
 
 fun F-10 | d 10000 |

 m 100 | t 2.6401902339421213 | y 1690390077.0 | x [9 3 1 ... 1 3 8]
 m 200 | t 3.0247130359057337 | y 1688290842.0 | x [6 1 6 ... 6 7 7]
 m 600 | t 4.531615206040442 | y 1685830807.0 | x [2 0 9 ... 1 9 9]
 m 800 | t 5.2902092188596725 | y 1677745466.0 | x [ 8  4  9 ...  7 10  4]
 m 1100 | t 6.429778259946033 | y 1674926300.0 | x [ 6  3  1 ...  1 10  5]
 m 1300 | t 7.1820346808526665 | y 1670712202.0 | x [3 6 2 ... 2 6 8]
 m 1400 | t 7.557913840049878 | y 1654036594.0 | x [2 3 8 ... 6 1 0]
 m 1900 | t 9.437679072842002 | y 1651807400.0 | x [ 0  3  4 ... 10  7  1]
 m 2200 | t 10.559250310994685 | y 1624407563.0 | x [ 2  3  1 ...  1 10  1]
 m 2600 | t 12.042307196883485 | y 1621919206.0 | x [4 0 0 ... 6 9 4]
 m 2700 | t 12.4168380999472 | y 1617179268.0 | x [0 4 6 ... 4 5 2]
 m 3000 | t 13.533591788029298 | y 1616151757.0 | x [10  2  8 ...  6  6 10]
 m 3100 | t 13.906256244052202 | y 1612159468.0 | x [9 1 1 ... 4 2 0]
 m 3600 | t 15.771631164010614 | y 1600573255.0 | x [6 0 8 ... 1 2 9]
 m 4300 | t 18.41621202789247 | y 1598403577.0 | x [10  3  2 ...  4 10  2]
 m 4400 | t 18.804683075053617 | y 1597221253.0 | x [ 6  3 10 ...  1  6  7]
 m 4500 | t 19.181145258946344 | y 1580728178.0 | x [10  3  8 ... 10  5  8]
 m 4700 | t 19.95647564693354 | y 1578954783.0 | x [10  2  0 ...  3  2  5]
 m 5100 | t 21.47640298004262 | y 1568995681.0 | x [0 2 8 ... 4 5 1]
 m 5800 | t 24.134254531003535 | y 1550266686.0 | x [10  4  5 ...  1  3  9]
 m 6300 | t 26.023797733942047 | y 1533831292.0 | x [10  1  8 ...  1 10  2]
 m 7500 | t 30.524119419045746 | y 1533230287.0 | x [ 0  3 10 ...  8  6  2]
 m 8000 | t 32.41832646401599 | y 1532520127.0 | x [0 5 6 ... 8 0 3]
 m 8900 | t 36.016317372908816 | y 1530607613.0 | x [1 0 8 ... 9 6 8]
 m 9500 | t 38.27972145495005 | y 1528461471.0 | x [ 8  2  2 ...  4  4 10]
 m 9700 | t 39.021914165932685 | y 1525244121.0 | x [ 6  0  3 ... 10  9  4]
 
 fun F-11 | d 10000 |

 m 100 | t 2.764944887952879 | y 6073.0 | x [ 4  6  4 ... 10  3  0]
 m 300 | t 3.5004262579604983 | y 5051.0 | x [1 5 3 ... 7 4 2]
 m 800 | t 5.30056651099585 | y 5050.0 | x [ 1 10  9 ...  3  2 10]
 m 1000 | t 6.045346386963502 | y 4651.0 | x [5 5 2 ... 9 2 5]
 m 1300 | t 7.237615366000682 | y 3483.0 | x [6 9 7 ... 7 3 0]
 m 1700 | t 8.865167972864583 | y 2451.0 | x [ 4  7  0 ... 10  9  0]
 m 3600 | t 15.883700534002855 | y 2314.0 | x [6 6 7 ... 8 1 0]
 m 3700 | t 16.255687127821147 | y 1936.0 | x [3 0 6 ... 7 9 9]
 m 3900 | t 16.99328853888437 | y 1385.0 | x [1 5 7 ... 3 3 4]
 m 4200 | t 18.09558238903992 | y 1331.0 | x [ 2 10  7 ...  3  8  0]
 m 4500 | t 19.204188221832737 | y 1232.0 | x [8 8 3 ... 4 9 9]
 m 4600 | t 19.570742500014603 | y 211.0 | x [1 7 6 ... 3 5 5]
 m 6300 | t 25.83583759702742 | y -3.0 | x [9 6 4 ... 3 9 3]
 m 7000 | t 28.386361257871613 | y -168.0 | x [2 5 5 ... 3 9 4]
 m 7200 | t 29.12581942998804 | y -216.0 | x [6 9 7 ... 9 9 9]
 m 7900 | t 31.722144705010578 | y -504.0 | x [3 7 8 ... 0 6 2]
 m 8000 | t 32.0884099858813 | y -961.0 | x [0 0 8 ... 8 9 2]
 m 8200 | t 32.82437650999054 | y -1178.0 | x [6 5 5 ... 9 4 7]
 m 8600 | t 34.288001420907676 | y -1332.0 | x [2 3 6 ... 4 3 2]
 m 8800 | t 35.02136257686652 | y -1561.0 | x [ 6  9  5 ... 10  9  2]
 m 8900 | t 35.38626753888093 | y -2317.0 | x [9 6 6 ... 9 3 2]
 m 9400 | t 37.207278962945566 | y -2894.0 | x [ 4  7  5 ... 10  9  2]
 m 9500 | t 37.57496494683437 | y -3736.0 | x [10  2  2 ... 10  3  4]
 
 fun F-12 | d 10000 |

 m 100 | t 2.6905970969237387 | y 2527532502074.718 | x [9 3 1 ... 1 3 8]
 m 200 | t 3.1363891151268035 | y 2525975053944.241 | x [4 2 1 ... 6 9 3]
 m 400 | t 4.001255803043023 | y 2497245862384.006 | x [6 0 3 ... 4 6 0]
 m 500 | t 4.437898710137233 | y 2492565477300.8433 | x [ 4 10  4 ...  6  9  7]
 m 1200 | t 7.525438095908612 | y 2454741022335.095 | x [10  2  4 ...  6  0  3]
 m 1700 | t 9.705486472928897 | y 2447463177743.8145 | x [2 2 0 ... 1 4 3]
 m 1800 | t 10.139083598041907 | y 2438299522422.3047 | x [6 5 3 ... 9 1 6]
 m 2000 | t 11.007781849009916 | y 2381514853415.674 | x [ 3  4  6 ...  6  6 10]
 m 2700 | t 14.05845361808315 | y 2372049844118.713 | x [ 4  6  3 ...  9 10 10]
 m 3000 | t 15.376863637939095 | y 2360220045529.851 | x [ 8 10  5 ...  4  2  3]
 m 3600 | t 18.014613803010434 | y 2338618248580.859 | x [6 2 1 ... 4 6 2]
 m 3900 | t 19.328276897082105 | y 2336697868924.588 | x [4 2 3 ... 5 5 4]
 m 4000 | t 19.762977264123037 | y 2335719882688.2944 | x [5 7 1 ... 1 6 0]
 m 4300 | t 21.081132513005286 | y 2332955402561.1504 | x [ 6  9 10 ...  1  8  4]
 m 4500 | t 21.959979932988063 | y 2306138841997.6274 | x [10  2  1 ...  4  9  6]
 m 4700 | t 22.847540277056396 | y 2297304932922.3926 | x [5 3 2 ... 9 4 9]
 m 5200 | t 25.05290532601066 | y 2295355817213.0835 | x [6 9 7 ... 5 1 6]
 m 5400 | t 25.923941621091217 | y 2274403927329.036 | x [7 4 6 ... 6 0 6]
 m 5600 | t 26.809094112133607 | y 2246036566731.583 | x [10  7  7 ...  9 10  3]
 m 7500 | t 35.30414065509103 | y 2213589126438.6943 | x [10  6  0 ...  9  0  8]
 m 8500 | t 39.73100458504632 | y 2213291790068.574 | x [6 1 3 ... 4 2 0]
 m 8900 | t 41.50198054197244 | y 2211135135997.045 | x [9 2 3 ... 7 9 4]
 m 9000 | t 41.950666229007766 | y 2206157611622.9077 | x [10  8  7 ...  9  9 10]
 m 9200 | t 42.8411793729756 | y 2193948054389.4224 | x [9 5 9 ... 4 2 2]
 m 9500 | t 44.16489453613758 | y 2158470217633.945 | x [ 4 10 10 ...  9  5  7]
 
 fun F-13 | d 10000 |

 m 100 | t 2.6299553338903934 | y 0.9427441379282209 | x [10  9 10 ... 10  0  0]
 m 200 | t 3.0380282520782202 | y 0.9384901099957426 | x [ 5 10 10 ...  0  1  6]
 m 600 | t 4.647618836024776 | y 0.9374784130743338 | x [2 0 9 ... 1 8 8]
 m 700 | t 5.06025944207795 | y 0.9361883739584737 | x [8 8 2 ... 5 1 4]
 m 1100 | t 6.651907867984846 | y 0.9351063234674964 | x [ 5  8  7 ... 10  0  7]
 m 1200 | t 7.045973276020959 | y 0.9348420609414804 | x [2 6 4 ... 2 0 8]
 m 1300 | t 7.444594419095665 | y 0.9336737605062733 | x [ 3  5  1 ...  2 10  4]
 m 1400 | t 7.84240240091458 | y 0.9334089503349022 | x [1 7 1 ... 6 8 6]
 m 1600 | t 8.632648014929146 | y 0.9284993391141975 | x [10  0  8 ...  8  7  4]
 m 2400 | t 11.821925346041098 | y 0.9283032092760823 | x [ 5  6  1 ...  7 10  1]
 m 2600 | t 12.62207868997939 | y 0.9268999978635412 | x [3 8 8 ... 1 7 8]
 m 2700 | t 13.025041972985491 | y 0.926090380103981 | x [ 9  7  8 ...  0 10  7]
 m 2900 | t 13.82367773191072 | y 0.9258443127416185 | x [4 8 4 ... 5 0 8]
 m 3300 | t 15.426233364036307 | y 0.9238494923592568 | x [7 8 6 ... 0 3 0]
 m 3700 | t 17.030473979888484 | y 0.9217921582511706 | x [10 10  4 ...  7 10  4]
 m 4000 | t 18.262099497020245 | y 0.921143737987602 | x [4 5 1 ... 1 5 7]
 m 4400 | t 19.875967632047832 | y 0.9201342977142728 | x [4 0 2 ... 3 2 0]
 m 4500 | t 20.273668421898037 | y 0.9200401647498855 | x [ 1  6  8 ... 10  7  4]
 m 4800 | t 21.465373490937054 | y 0.919968454138976 | x [ 1  4  5 ... 10  6  0]
 m 4900 | t 21.862887345952913 | y 0.9187127781663699 | x [ 0  5 10 ...  5  7  4]
 m 5100 | t 22.658415666082874 | y 0.9165398593771288 | x [1 0 0 ... 2 4 3]
 m 5900 | t 25.857031784020364 | y 0.91212430753156 | x [ 4 10  6 ...  8  4  7]
 m 7800 | t 33.41338436398655 | y 0.9119191931280319 | x [ 2 10  8 ...  2  7  8]
 m 8300 | t 35.42208279296756 | y 0.909845606242736 | x [2 3 4 ... 0 1 7]
 m 8500 | t 36.22825595992617 | y 0.9095091167683217 | x [4 8 6 ... 9 8 0]
 m 8900 | t 37.82747806003317 | y 0.909466156939537 | x [4 3 8 ... 7 7 1]
 m 9600 | t 40.655271489871666 | y 0.9058619532175305 | x [ 9 10  4 ...  2  9  8]
 
 fun F-14 | d 10000 |

 m 100 | t 2.6336835271213204 | y inf | x [ 9 10  6 ...  4  0  7]
 
 fun F-01 | d 10000 |

 m 100 | t 3.9341938288416713 | y 113333895801.0 | x [9 3 1 ... 1 3 8]
 m 1200 | t 8.072132400935516 | y 112408655076.0 | x [10  2  3 ...  2  5  7]
 m 1300 | t 8.443434926914051 | y 111740444176.0 | x [ 2  0  9 ... 10  1  2]

 fun F-01 | d 10000 |

 m 100 | t 3.936011953977868 | y 113333895801.0 | x [9 3 1 ... 1 3 8]
