
 fun P-01 | d 10000 |

 m 100 | t 51.98923279403243 | y 13.865545934768399 | x [4 7 2 ... 3 8 7]
 m 400 | t 178.6280979309231 | y 13.864278430039521 | x [10  7  2 ...  6  5  9]
 m 500 | t 221.05343134794384 | y 13.862907793142298 | x [9 2 4 ... 6 5 6]
 m 7200 | t 2801.3311528180493 | y 13.838390671533487 | x [ 9  4  3 ...  7 10  2]
 m 900 | t 385.97789145994466 | y 13.860273586663228 | x [5 5 3 ... 3 5 7]
 m 7500 | t 2918.4355225659674 | y 13.83565454258491 | x [4 3 3 ... 2 0 9]
 m 1300 | t 546.4320453989785 | y 13.85935677908129 | x [10  5  8 ...  8  8  2]
 m 7900 | t 3073.6671960590174 | y 13.834069490204326 | x [9 2 6 ... 2 0 2]
 m 1600 | t 662.9720408120193 | y 13.855395566438146 | x [ 0  7 10 ...  7  0  8]
 m 2000 | t 822.3529784859857 | y 13.855004944733501 | x [0 4 2 ... 6 0 2]
 m 2200 | t 909.2551186309429 | y 13.854793733726831 | x [ 2  4  5 ... 10  0  4]
 m 2300 | t 951.2744310100097 | y 13.851068884982727 | x [6 2 6 ... 5 3 7]
 m 9100 | t 3545.1711856779875 | y 13.832603421249184 | x [9 4 6 ... 8 3 5]
 m 9600 | t 3739.3728570289677 | y 13.831699097312717 | x [5 8 1 ... 3 0 0]
 m 3100 | t 1285.2420457259286 | y 13.850871813730325 | x [ 1 10  3 ... 10  1  7]
 m 3200 | t 1323.135404670029 | y 13.849203330894644 | x [9 4 8 ... 5 8 2]
 m 3300 | t 1362.5643708429998 | y 13.846908622565673 | x [9 4 7 ... 8 3 5]
 m 10000 | t 3875.0505651220446 | y 13.831699097312717 | x [5 8 1 ... 3 0 0]

 fun P-02 | d 1000000 |

 m 100 | t 45.99153160606511 | y 3153811.073026462 | x [8 5 5 ... 6 4 4]
 m 200 | t 84.59548013005406 | y 3151266.733570079 | x [10  1  6 ...  7  6  2]
 m 400 | t 159.149348750012 | y 3150141.9474751395 | x [10  7  2 ...  6  5  9]
 m 700 | t 274.7139460570179 | y 3149024.110539869 | x [10  4 10 ...  3 10  5]
 m 4100 | t 1674.5807107950095 | y 13.84655876705921 | x [4 2 4 ... 5 0 5]
 m 4200 | t 1715.3986266190186 | y 13.84318569885225 | x [ 2 10  5 ...  3  5  9]
 m 900 | t 351.4803167670034 | y 3148506.54595312 | x [10  7  4 ...  9  9  4]
 m 1100 | t 428.07560051302426 | y 3146626.565441795 | x [6 6 1 ... 3 8 7]
 m 1200 | t 467.3991292130668 | y 3146447.2635811707 | x [10  9  6 ...  8  2  4]
 m 1400 | t 544.1849692150718 | y 3146158.400363245 | x [2 0 5 ... 7 1 9]
 m 1600 | t 621.6195315009682 | y 3144005.631709767 | x [0 7 9 ... 7 0 9]
 m 5200 | t 2104.8457427340327 | y 13.841815962095215 | x [ 0  7  5 ...  2  5 10]
 m 2000 | t 777.700293197995 | y 3143378.5917657716 | x [2 9 8 ... 6 0 1]
 m 2300 | t 893.9137105500558 | y 3138347.6470825477 | x [5 2 8 ... 4 3 7]
 m 5600 | t 2270.165690267924 | y 13.84176514670554 | x [1 1 6 ... 7 0 4]
 m 6100 | t 2473.6572364269523 | y 13.841291668939212 | x [ 0  2  8 ...  5  0 10]
 m 6300 | t 2556.9697939149337 | y 13.840780680805926 | x [ 2 10  8 ...  8  5  9]
 m 6500 | t 2634.4119355329312 | y 13.83881861997902 | x [0 2 5 ... 2 4 5]
 m 3800 | t 1474.5959749970352 | y 3138303.693262516 | x [0 1 9 ... 5 0 5]
 m 7200 | t 2908.7671944600297 | y 13.838390671533487 | x [ 9  4  3 ...  7 10  2]
 m 4000 | t 1549.3074281139998 | y 3138291.4786489406 | x [0 3 2 ... 3 6 9]
 m 4200 | t 1626.615945780999 | y 3134694.909186737 | x [ 3 10  5 ...  3  5  9]
 m 7500 | t 3025.546781489975 | y 13.83565454258491 | x [4 3 3 ... 2 0 9]
 m 7900 | t 3183.3678801850183 | y 13.834069490204326 | x [9 2 6 ... 2 0 2]
 m 5800 | t 2249.749634408974 | y 3134652.0770386066 | x [10  7  8 ...  4  8  4]
 m 9100 | t 3652.803724581958 | y 13.832603421249184 | x [9 4 6 ... 8 3 5]
