fun P-01 | nbb 5 |

 m 240 | t 2.1688072140095755 | y -2.9473400848719193 |
 m 280 | t 2.188912098063156 | y -3.3919187897521224 |
 m 320 | t 2.2088497050572187 | y -3.8339859711483006 |
 m 480 | t 2.287761464016512 | y -3.835951007221041 |
 m 500 | t 2.297760450048372 | y -3.8367515001708847 |
 m 540 | t 2.317490734043531 | y -3.883898845664475 |
 m 620 | t 2.3570541370427236 | y -3.8976174101276264 |
 m 740 | t 2.4161734050139785 | y -4.02041279366995 |
 m 760 | t 2.4260961459949613 | y -4.034131358133101 |
 m 1000 | t 2.5437276610173285 | y -4.034131358133101 |

 fun P-05 | nbb 25 |

 m 25 | t 2.059347925009206 | y -2.1009458422632235 |
 m 100 | t 2.0951222429284826 | y -2.694688816711062 |
 m 225 | t 2.1513156089931726 | y -2.8278149906988217 |
 m 250 | t 2.1627944469219074 | y -2.8992023512624785 |
 m 275 | t 2.174069489003159 | y -3.382392847905362 |
 m 300 | t 2.1853196239098907 | y -3.3955377116684913 |
 m 475 | t 2.2638135419692844 | y -3.7006870920738146 |
 m 600 | t 2.3197676859563217 | y -3.750923649475383 |
 m 625 | t 2.331058587995358 | y -3.83722661388377 |
 m 1000 | t 2.4984601349569857 | y -3.83722661388377 |

 fun P-05 | nbb 30 |

 m 30 | t 2.081606577965431 | y -2.0156644717938303 |
 m 60 | t 2.096560616977513 | y -2.181347550744282 |
 m 120 | t 2.12249807594344 | y -2.6744605785666327 |
 m 300 | t 2.1985754480119795 | y -3.2028332096546146 |
 m 480 | t 2.274809355963953 | y -3.251715631349085 |
 m 600 | t 2.325812953989953 | y -3.372779104255926 |
 m 630 | t 2.338726509013213 | y -3.4946678496245784 |
 m 660 | t 2.3515417379094288 | y -3.545366371151802 |
 m 690 | t 2.3642548739444464 | y -3.8235080494206186 |
 m 750 | t 2.3897560669574887 | y -4.034131358133101 |
 m 1020 | t 2.503844682010822 | y -4.034131358133101 |

 fun P-05 | nbb 35 |

 m 35 | t 2.023491783067584 | y -1.9384319436723914 |
 m 70 | t 2.0395998880267143 | y -1.9741376693910684 |
 m 105 | t 2.0537801219616085 | y -2.69658245233977 |
 m 140 | t 2.0679315410088748 | y -3.1891238531379806 |
 m 560 | t 2.2354978900402784 | y -3.2504040376718955 |
 m 665 | t 2.2773718690732494 | y -3.4946934234290588 |
 m 1015 | t 2.4171808620449156 | y -3.83722661388377 |

 fun P-05 | nbb 40 |

 m 40 | t 2.248203431023285 | y -2.146698716866965 |
